ID,MODEM_NUMBER,STATUS,ERROR,ERROR_CODE,MSISDN,SENT,MODEM_INDEX_I2C,TIMESTAMP,NETWORK,USE_CALL,USE_SMS,IS_LOOPBACK_MSISDN,MODEM_MSISDN,MODEL,IMEI,IMSI,REGISTRATION_STATUS,OPERATOR,RAT,ARFCN,BSIC,PSC,PCI,MCC,MNC,LAC,CELL_ID,RSSI,SNR,CALL_RESULT,SMS_RESULT,LATITUDE,LONGITUDE,ALTITUDE,SESSION_NAME,SUCCESS_RATE,NORMALIZED_MSISDN
67439,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-03-16 15:38:14,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-74.0,-15.0,"[""OK"", ""OK""]",,33.03454,-83.93701,216.9,Office test,100.0,12298099213
67440,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2026-03-16 15:38:14,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-77.0,-15.0,"[""OK"", ""OK""]",,33.03454,-83.93701,216.9,Office test,100.0,12298099201
67441,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2026-03-16 15:38:14,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-90.0,-13.0,"[""OK"", ""OK""]",,33.03454,-83.93701,216.9,Office test,100.0,12293320200
67442,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2026-03-16 15:38:14,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-88.0,-14.0,"[""OK"", ""OK""]",,33.03454,-83.93701,216.9,Office test,100.0,12293320274
67443,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2026-03-16 15:38:14,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-88.0,-14.0,"[""failed_timeout"", ""failed_timeout""]",,33.03454,-83.93701,216.9,Office test,0.0,14706128781
67444,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2026-03-16 15:38:14,auto,1,0,0,14703890674,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-77.0,-16.0,"[""failed_timeout"", ""failed_timeout""]",,33.03454,-83.93701,216.9,Office test,0.0,14703890674
67433,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-03-16 15:34:54,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-79.0,-18.0,"[""OK"", ""OK""]",,33.03411,-83.93898,221.4,Office test,100.0,12298099213
67434,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2026-03-16 15:34:54,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-17.0,"[""OK"", ""OK""]",,33.03411,-83.93898,221.4,Office test,100.0,12298099201
67435,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2026-03-16 15:34:54,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-92.0,-10.0,"[""OK"", ""OK""]",,33.03411,-83.93898,221.4,Office test,100.0,12293320200
67436,4,ERROR,Failed to open device /dev/: [Errno 21] could not open port /dev/: [Errno 21] Is a directory: ./dev/.,-1,14049400438,0,4,2026-03-16 15:34:54,auto,1,0,0,12293320274,,,,,,,,,,,,,,,,,"[""failed_timeout"", ""failed_timeout""]",,33.03411,-83.93898,221.4,Office test,0.0,12293320274
67437,5,ERROR,Failed to open device /tmp/modem_05: [Errno 2] could not open port /tmp/modem_05: [Errno 2] No such file or directory: ./tmp/modem_05.,-1,14049400438,0,5,2026-03-16 15:34:54,auto,1,0,0,14706128781,,,,,,,,,,,,,,,,,"[""failed_timeout"", ""failed_timeout""]",,33.03411,-83.93898,221.4,Office test,0.0,14706128781
67438,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2026-03-16 15:34:54,auto,1,0,0,14703890674,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-81.0,-17.0,"[""failed_timeout"", ""failed_timeout""]",,33.03411,-83.93898,221.4,Office test,0.0,14703890674
67427,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-03-16 15:30:09,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-77.0,-18.0,"[""OK"", ""OK""]",,33.03507,-83.94031,215.4,Office test,100.0,12298099213
67428,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2026-03-16 15:30:09,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-77.0,-19.0,"[""OK"", ""OK""]",,33.03507,-83.94031,215.4,Office test,100.0,12298099201
67429,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2026-03-16 15:30:09,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-86.0,-11.0,"[""OK"", ""OK""]",,33.03507,-83.94031,215.4,Office test,100.0,12293320200
67430,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2026-03-16 15:30:09,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-85.0,-10.0,"[""OK"", ""OK""]",,33.03507,-83.94031,215.4,Office test,100.0,12293320274
67431,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2026-03-16 15:30:09,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2535.0,,,49.0,310.0,410.0,11533.0,187305986.0,-85.0,-10.0,"[""failed_timeout"", ""failed_timeout""]",,33.03507,-83.94031,215.4,Office test,0.0,14706128781
