ID,MODEM_NUMBER,STATUS,ERROR,ERROR_CODE,MSISDN,SENT,MODEM_INDEX_I2C,TIMESTAMP,NETWORK,USE_CALL,USE_SMS,IS_LOOPBACK_MSISDN,MODEM_MSISDN,MODEL,IMEI,IMSI,REGISTRATION_STATUS,OPERATOR,RAT,ARFCN,BSIC,PSC,PCI,MCC,MNC,LAC,CELL_ID,RSSI,SNR,CALL_RESULT,SMS_RESULT,LATITUDE,LONGITUDE,ALTITUDE,SESSION_NAME,SUCCESS_RATE,NORMALIZED_MSISDN
74003,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:50:29,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-39.0,-3.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
74004,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2026-06-01 04:50:29,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-38.0,-3.0,"[""failed_atd"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
74005,3,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,3,2026-06-01 04:50:29,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
74006,4,ERROR,Failed to open device /dev/: [Errno 21] could not open port /dev/: [Errno 21] Is a directory: ./dev/.,-1,14049400438,0,4,2026-06-01 04:50:29,auto,1,0,0,12293320274,,,,,,,,,,,,,,,,,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
74007,5,ERROR,Failed to open device /tmp/modem_05: [Errno 2] could not open port /tmp/modem_05: [Errno 2] No such file or directory: ./tmp/modem_05.,-1,14049400438,0,5,2026-06-01 04:50:29,auto,1,0,0,14706128781,,,,,,,,,,,,,,,,,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
74008,6,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,6,2026-06-01 04:50:29,auto,1,0,0,14703890674,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73997,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:48:05,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,802.0,,,70.0,310.0,260.0,70.0,3584.0,-89.0,-3.0,"[""failed_atd"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73998,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2026-06-01 04:48:05,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,802.0,,,70.0,310.0,260.0,70.0,3584.0,-90.0,-3.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73999,3,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,3,2026-06-01 04:48:05,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
74000,4,IDLE,"Modem is not connected: 2 (Not registered, but ME is currently searching a new operator to register to)",-22,14049400438,0,4,2026-06-01 04:48:05,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,2.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
74001,5,IDLE,"Modem is not connected: 2 (Not registered, but ME is currently searching a new operator to register to)",-22,14049400438,0,5,2026-06-01 04:48:05,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,310410458692547.0,2.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
74002,6,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,6,2026-06-01 04:48:05,auto,1,0,0,14703890674,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73991,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:45:12,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-39.0,-3.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73992,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2026-06-01 04:45:12,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-39.0,-3.0,"[""failed_atd"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73993,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2026-06-01 04:45:12,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,6.0,310.0,410.0,12038.0,187441162.0,-88.0,-16.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
73994,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2026-06-01 04:45:12,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,6.0,310.0,410.0,12038.0,187441162.0,-87.0,-15.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
73995,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2026-06-01 04:45:12,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,6.0,310.0,410.0,12038.0,187441162.0,-87.0,-15.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
73996,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2026-06-01 04:45:12,auto,1,0,0,14703890674,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,6.0,310.0,410.0,12038.0,187441162.0,-87.0,-16.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73985,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:40:29,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,802.0,,,70.0,310.0,260.0,71.0,3584.0,-90.0,-7.0,"[""failed_atd"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73986,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2026-06-01 04:40:29,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,802.0,,,70.0,310.0,260.0,71.0,3584.0,-93.0,-4.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73987,3,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,3,2026-06-01 04:40:29,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
73988,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2026-06-01 04:40:29,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2175.0,,,227.0,310.0,410.0,12038.0,187441174.0,-95.0,-20.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
73989,5,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,5,2026-06-01 04:40:29,auto,1,0,0,14706128781,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
73990,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2026-06-01 04:40:29,auto,1,0,0,14703890674,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2175.0,,,227.0,310.0,410.0,12038.0,187441174.0,-95.0,-20.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73984,6,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,6,2026-06-01 04:36:51,auto,1,0,0,14703890674,Quectel EG25,867929068549957.0,310410458692547.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73979,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:36:51,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-38.0,-3.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73980,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2026-06-01 04:36:51,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-38.0,-3.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73981,3,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,3,2026-06-01 04:36:51,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
73982,4,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,4,2026-06-01 04:36:51,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
73983,5,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,5,2026-06-01 04:36:51,auto,1,0,0,14706128781,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
73973,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:33:48,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,802.0,,,70.0,310.0,260.0,70.0,3584.0,-90.0,-3.0,"[""failed_atd"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73974,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2026-06-01 04:33:48,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-39.0,-3.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73975,3,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,3,2026-06-01 04:33:48,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
73976,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2026-06-01 04:33:48,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,6.0,310.0,410.0,12038.0,187441162.0,-87.0,-16.0,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.0983,34.84785,0.0,Default_Session,100.0,12293320274
73977,5,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,5,2026-06-01 04:33:48,auto,1,0,0,14706128781,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
73978,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2026-06-01 04:33:48,auto,1,0,0,14703890674,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,675.0,,,6.0,310.0,410.0,12038.0,187441162.0,-87.0,-16.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73967,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,1,2026-06-01 04:30:10,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-39.0,-3.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73968,2,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,2,2026-06-01 04:30:10,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,T-Mobile,LTE,5035.0,,,20.0,310.0,260.0,20.0,33331713.0,-38.0,-3.0,"[""failed_atd"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73969,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2026-06-01 04:30:10,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,,,,,,,,,,,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
73970,4,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,4,2026-06-01 04:30:10,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
73971,5,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,5,2026-06-01 04:30:10,auto,1,0,0,14706128781,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2567.0,,,60.0,310.0,410.0,60.0,3584.0,-47.0,-3.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
73972,6,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,6,2026-06-01 04:30:10,auto,1,0,0,14703890674,Quectel EG25,867929068549957.0,310410458692547.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
73961,1,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,1,2026-06-01 04:26:32,auto,1,0,0,12298099213,Quectel EG25,867929068550195.0,310260429109979.0,1.0,T-Mobile,LTE,802.0,,,70.0,310.0,260.0,70.0,3584.0,-91.0,-4.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099213
73962,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2026-06-01 04:26:32,auto,1,0,0,12298099201,Quectel EG25,867929069278846.0,310260429110690.0,1.0,,,802.0,,,70.0,310.0,260.0,70.0,3584.0,-91.0,-4.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,12298099201
73963,3,IDLE,Modem is not connected: 3 (Registration denied),-22,14049400438,0,3,2026-06-01 04:26:32,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,3.0,,,,,,,,,,,,,[],,32.0983,34.84785,0.0,Default_Session,0.0,12293320200
73964,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2026-06-01 04:26:32,auto,1,0,0,12293320274,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2175.0,,,227.0,310.0,410.0,12038.0,187441174.0,-95.0,-20.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,12293320274
73965,5,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,5,2026-06-01 04:26:32,auto,1,0,0,14706128781,Quectel EG25,867929069278846.0,310260429110690.0,1.0,,,802.0,,,70.0,310.0,260.0,70.0,3584.0,-91.0,-4.0,"[""failed_atd"", ""failed_atd"", ""failed_atd"", ""failed_atd""]",,32.0983,34.84785,0.0,Default_Session,0.0,14706128781
73966,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2026-06-01 04:26:32,auto,1,0,0,14703890674,Quectel EG25,867929068549957.0,310410458692547.0,1.0,AT&T,LTE,2175.0,,,227.0,310.0,410.0,12038.0,187441174.0,-95.0,-20.0,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.0983,34.84785,0.0,Default_Session,0.0,14703890674
