ID,MODEM_NUMBER,STATUS,ERROR,ERROR_CODE,MSISDN,SENT,MODEM_INDEX_I2C,TIMESTAMP,NETWORK,USE_CALL,USE_SMS,IS_LOOPBACK_MSISDN,MODEM_MSISDN,MODEL,IMEI,IMSI,REGISTRATION_STATUS,OPERATOR,RAT,ARFCN,BSIC,PSC,PCI,MCC,MNC,LAC,CELL_ID,RSSI,SNR,CALL_RESULT,SMS_RESULT,LATITUDE,LONGITUDE,ALTITUDE,SESSION_NAME,SUCCESS_RATE
66710,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-19 04:46:28,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-82.0,-10.0,"[""OK"", ""OK""]",,33.03454,-83.9376,0.0,Garage,100.0
66711,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-19 04:46:28,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-60.0,-10.0,"[""OK"", ""OK""]",,33.03454,-83.9376,0.0,Garage,100.0
66712,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-19 04:46:28,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,5230.0,,,172.0,311.0,480.0,44810.0,45000962.0,-66.0,-12.0,"[""OK"", ""OK""]",,33.03454,-83.9376,0.0,Garage,100.0
66713,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 04:55:48,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,675.0,,,50.0,310.0,410.0,11533.0,187320842.0,-84.0,-10.0,"[""OK"", ""OK""]",,33.03454,-83.9376,0.0,Garage,100.0
66714,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 04:55:48,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-59.0,-10.0,"[""OK"", ""OK""]",,33.03454,-83.9376,0.0,Garage,100.0
66715,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 04:55:48,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,2450.0,,,189.0,311.0,480.0,44810.0,44921104.0,-72.0,-9.0,"[""OK"", ""OK""]",,33.03454,-83.9376,0.0,Garage,100.0
66716,3,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,3,2025-11-20 04:57:45,auto,1,0,0,12293320200,Quectel EG25,867929069322826.0,310410446625086.0,1.0,AT&T,LTE,2535.0,,,50.0,310.0,410.0,11533.0,187244035.0,-76.0,-11.0,"[""OK"", ""OK""]",,33.03427,-83.9376,0.0,Garage,100.0
66717,4,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,4,2025-11-20 04:57:45,auto,1,0,0,14706128781,Quectel EG25,867929068549957.0,311480117211386.0,1.0,Verizon ,LTE,5230.0,,,189.0,311.0,480.0,44810.0,44921089.0,-60.0,-8.0,"[""OK"", ""OK""]",,33.03427,-83.9376,0.0,Garage,100.0
66718,6,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,14049400438,0,6,2025-11-20 04:57:45,auto,1,0,0,14703890674,Quectel EG25,867929069250944.0,311480112618251.0,1.0,Verizon ,LTE,2450.0,,,189.0,311.0,480.0,44810.0,44921104.0,-71.0,-9.0,"[""OK"", ""OK""]",,33.03427,-83.9376,0.0,Garage,100.0
66719,2,IDLE,Failed to receive expected response to command ATH: NO CARRIER,-11,14049400438,0,2,2025-11-20 06:39:20,auto,1,0,0,14044726121,Quectel EG25,867929069278846.0,310260416924278.0,1.0,T-Mobile,LTE,2225.0,,,375.0,310.0,260.0,30497.0,43420929.0,-78.0,-14.0,"[""FAIL"", ""FAIL""]",,33.03427,-83.9376,0.0,Garage,0.0
