ID,MODEM_NUMBER,STATUS,ERROR,ERROR_CODE,MSISDN,SENT,MODEM_INDEX_I2C,TIMESTAMP,NETWORK,USE_CALL,USE_SMS,IS_LOOPBACK_MSISDN,MODEM_MSISDN,MODEL,IMEI,IMSI,REGISTRATION_STATUS,OPERATOR,RAT,ARFCN,BSIC,PSC,PCI,MCC,MNC,LAC,CELL_ID,RSSI,SNR,CALL_RESULT,SMS_RESULT,LATITUDE,LONGITUDE,ALTITUDE,SESSION_NAME,SUCCESS_RATE,NORMALIZED_MSISDN
14,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 16:02:36,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-10,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09808,34.84779,0.0,Default_Session,100.0,972546369731
13,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 16:02:02,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-9,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09804,34.84781,0.0,Default_Session,100.0,972546369731
12,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 16:01:29,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-85,-11,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09807,34.84782,0.0,Default_Session,100.0,972546369731
11,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 16:00:53,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-11,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09808,34.84782,0.0,Default_Session,100.0,972546369731
10,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 16:00:20,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-84,-11,"[""ok_busy"", ""ok_busy"", ""ok_busy"", ""ok_busy""]",,32.09798,34.84776,0.0,Default_Session,100.0,972546369731
9,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 15:53:16,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-85,-10,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09806,34.84778,0.0,Default_Session,100.0,972546369731
8,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 15:43:38,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-10,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09805,34.84778,0.0,Default_Session,100.0,972546369731
7,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 15:43:03,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-85,-10,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09805,34.84782,0.0,Default_Session,100.0,972546369731
6,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 15:42:27,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-83,-11,"[""OK"", ""OK"", ""OK"", ""OK""]",,32.09795,34.84783,0.0,Default_Session,100.0,972546369731
5,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972549591925,0,1,2026-02-15 15:41:52,auto,1,0,0,546369731,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-10,"[""ok_busy"", ""ok_busy"", ""ok_busy"", ""ok_busy""]",,0.0,0.0,0.0,Default_Session,100.0,972546369731
4,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972523592815,0,1,2026-02-15 15:38:00,auto,1,0,0,547691201,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-85,-10,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,0.0,0.0,0.0,Default_Session,0.0,972547691201
3,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972523592815,0,1,2026-02-15 15:37:43,auto,1,0,0,547691201,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-10,"[""ok_busy"", ""ok_busy"", ""ok_busy"", ""ok_busy""]",,0.0,0.0,0.0,Default_Session,100.0,972547691201
2,1,IDLE,Failed to receive expected response to command AT+QGPSLOC=2: +CME ERROR: Not fixed now,-10,972523592815,0,1,2026-02-15 15:34:06,auto,1,0,0,547691201,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-10,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""failed_timeout""]",,32.09819,34.8478,0.0,Default_Session,0.0,972547691201
1,1,IDLE,"Timeout to receive expected response [.CONNECT., .BUSY., .NO CARRIER., .NO ANSWER.] to command Dial",-12,972523592815,0,1,2026-02-15 15:33:52,auto,1,0,0,547691201,Quectel EG25,867652076238864,425010790425800,1,Partner,LTE,1600,,,217,425,1,19221,944642,-86,-10,"[""failed_timeout"", ""failed_timeout"", ""failed_timeout"", ""ok_busy""]",,32.09807,34.84779,0.0,Default_Session,25.0,972547691201
